Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID,Book checkout_raw,Book Returned_raw,loan_duration,negative_duration_flag,checkout_date_iso,return_date_iso,expected_return_date,overdue_days,is_overdue
1.0,Catcher in the Rye,2023-02-20,2023-02-25,2 weeks,1.0,20/02/2023,25/02/2023,5,False,2023-02-20,2023-02-25,2023-03-06,-9.0,False
2.0,Lord of the rings the two towers,2023-03-21,2023-03-24,2 weeks,2.0,24/03/2023,21/03/2023,3,False,2023-03-21,2023-03-24,2023-04-04,-11.0,False
3.0,Lord of the rings the return of the kind,2023-03-25,2023-03-29,2 weeks,3.0,29/03/2023,25/03/2023,4,False,2023-03-25,2023-03-29,2023-04-08,-10.0,False
4.0,The hobbit,2023-03-25,2023-04-02,2 weeks,4.0,02/04/2023,25/03/2023,8,False,2023-03-25,2023-04-02,2023-04-08,-6.0,False
5.0,Dune,2023-03-25,2023-04-02,2 weeks,5.0,02/04/2023,25/03/2023,8,False,2023-03-25,2023-04-02,2023-04-08,-6.0,False
6.0,Little Women,2023-04-02,2023-05-01,2 weeks,1.0,02/04/2023,01/05/2023,29,False,2023-04-02,2023-05-01,2023-04-16,15.0,True
7.0,IT,2023-04-03,2023-04-10,2 weeks,6.0,10/04/2023,03/04/2023,7,False,2023-04-03,2023-04-10,2023-04-17,-7.0,False
8.0,Misery,2023-04-03,2023-04-15,2 weeks,7.0,15/04/2023,03/04/2023,12,False,2023-04-03,2023-04-15,2023-04-17,-2.0,False
9.0,Catch 22,2023-04-15,2023-04-16,2 weeks,7.0,15/04/2023,16/04/2023,1,False,2023-04-15,2023-04-16,2023-04-29,-13.0,False
10.0,Animal Farm,2023-04-20,2023-04-24,2 weeks,2.0,20/04/2023,24/04/2023,4,False,2023-04-20,2023-04-24,2023-05-04,-10.0,False
11.0,1984,2023-04-23,2023-04-27,2 weeks,8.0,23/04/2023,27/04/2023,4,False,2023-04-23,2023-04-27,2023-05-07,-10.0,False
13.0,East of Eden,2023-04-30,2023-05-05,2 weeks,2.0,30/04/2023,05/05/2023,5,False,2023-04-30,2023-05-05,2023-05-14,-9.0,False
14.0,America Is in the Heart,2023-05-01,2023-05-07,2 weeks,3.0,01/05/2023,07/05/2023,6,False,2023-05-01,2023-05-07,2023-05-15,-8.0,False
15.0,Wuthering Heights,2023-05-01,2023-05-10,2 weeks,9.0,01/05/2023,10/05/2023,9,False,2023-05-01,2023-05-10,2023-05-15,-5.0,False
16.0,Dark Tales,2023-05-15,2023-06-01,2 weeks,2.0,15/05/2023,01/06/2023,17,False,2023-05-15,2023-06-01,2023-05-29,3.0,True
17.0,The Bloody Chamber,2023-05-31,2023-06-04,2 weeks,3.0,31/05/2023,04/06/2023,4,False,2023-05-31,2023-06-04,2023-06-14,-10.0,False
18.0,Les Miserables,2023-06-03,2023-06-07,2 weeks,5.0,03/06/2023,07/06/2023,4,False,2023-06-03,2023-06-07,2023-06-17,-10.0,False
19.0,Dracula,2023-06-10,2023-07-10,2 weeks,10.0,10/06/2023,10/07/2023,30,False,2023-06-10,2023-07-10,2023-06-24,16.0,True
20.0,Frankenstein,2023-06-01,2023-06-20,2 weeks,2.0,01/06/2023,20/06/2023,19,False,2023-06-01,2023-06-20,2023-06-15,5.0,True
